regime	window_kb	epoch_progress	epoch	batch	batches_in_epoch	train_loss	source
heldout	30	1.0	1			0.07206920096425759	epoch_mean
heldout	30	1.0630676084762867	2	500.0	7928.0	0.00964	running_log
heldout	30	1.1261352169525731	2	1000.0	7928.0	0.00945	running_log
heldout	30	1.1892028254288598	2	1500.0	7928.0	0.00908	running_log
heldout	30	1.2522704339051463	2	2000.0	7928.0	0.0089	running_log
heldout	30	1.315338042381433	2	2500.0	7928.0	0.00876	running_log
heldout	30	1.3784056508577196	2	3000.0	7928.0	0.00876	running_log
heldout	30	1.441473259334006	2	3500.0	7928.0	0.00876	running_log
heldout	30	1.5045408678102925	2	4000.0	7928.0	0.00874	running_log
heldout	30	1.5676084762865792	2	4500.0	7928.0	0.00866	running_log
heldout	30	1.6306760847628659	2	5000.0	7928.0	0.0087	running_log
heldout	30	1.6937436932391523	2	5500.0	7928.0	0.00866	running_log
heldout	30	1.756811301715439	2	6000.0	7928.0	0.0086	running_log
heldout	30	1.8198789101917257	2	6500.0	7928.0	0.00855	running_log
heldout	30	1.882946518668012	2	7000.0	7928.0	0.00856	running_log
heldout	30	1.9460141271442986	2	7500.0	7928.0	0.00852	running_log
heldout	30	2.0	2			0.008462991302472135	epoch_mean
heldout	30	2.0630676084762865	3	500.0	7928.0	0.00755	running_log
heldout	30	2.1261352169525733	3	1000.0	7928.0	0.00752	running_log
heldout	30	2.18920282542886	3	1500.0	7928.0	0.00731	running_log
heldout	30	2.2522704339051463	3	2000.0	7928.0	0.00735	running_log
heldout	30	2.3153380423814327	3	2500.0	7928.0	0.00733	running_log
heldout	30	2.3784056508577196	3	3000.0	7928.0	0.00729	running_log
heldout	30	2.441473259334006	3	3500.0	7928.0	0.00724	running_log
heldout	30	2.5045408678102925	3	4000.0	7928.0	0.00722	running_log
heldout	30	2.567608476286579	3	4500.0	7928.0	0.00722	running_log
heldout	30	2.630676084762866	3	5000.0	7928.0	0.00719	running_log
heldout	30	2.6937436932391523	3	5500.0	7928.0	0.00719	running_log
heldout	30	2.756811301715439	3	6000.0	7928.0	0.00715	running_log
heldout	30	2.8198789101917257	3	6500.0	7928.0	0.00709	running_log
heldout	30	2.882946518668012	3	7000.0	7928.0	0.00708	running_log
heldout	30	2.9460141271442986	3	7500.0	7928.0	0.00706	running_log
heldout	30	3.0	3			0.007033097882416114	epoch_mean
heldout	30	3.0630676084762865	4	500.0	7928.0	0.00615	running_log
heldout	30	3.1261352169525733	4	1000.0	7928.0	0.0062	running_log
heldout	30	3.18920282542886	4	1500.0	7928.0	0.00606	running_log
heldout	30	3.2522704339051463	4	2000.0	7928.0	0.00602	running_log
